"keyword1","keyword2","keyword3","keyword4","keyword5","keyword6","keyword7","keyword8","keyword9","keyword10","tmdbId","image_url","name","year","janre1","janre2","janre3","janre4","janre5"
"madrid, spain",group of friends,sitcom,,,,,,,,111,https://image.tmdb.org/t/p/original/sYNk7nES9qUIXXICXILo3MOU4qt.jpg,"7 vidas","1999-01-17",코미디,,,,
surreal,sketch comedy,,,,,,,,,112,https://image.tmdb.org/t/p/original/iqfwzbFu9lXdLtYolHg5L9qh4Q8.jpg,The Armando Iannucci Shows,"2001-08-30",코미디,,,,
sitcom,,,,,,,,,,114,https://image.tmdb.org/t/p/original/jAd2zeYyWv89L6VRMAtPsssAZ7r.jpg,Nathan Barley,"2005-02-11",코미디,,,,
college,racism,sitcom,social issues,,,,,,,115,https://image.tmdb.org/t/p/original/v7fuifcJjcqQxAsOjPviupcmFIZ.jpg,A Different World,"1987-09-24",코미디,,,,
,,,,,,,,,,116,https://image.tmdb.org/t/p/original/3hSMvKvTbqRkHoZfcuGoAQYhGEd.jpg,Titans,"2000-10-04",Soap,드라마,,,
"washington dc, usa",the white house,president,spin off,chef,sitcom,father son relationship,,,,119,https://image.tmdb.org/t/p/original/kf7aiSIFDP1tkxsqckgWxIyuumw.jpg,Cory in the House,"2007-01-12",코미디,Kids,,,
,,,,,,,,,,120,https://image.tmdb.org/t/p/original/ubfXgkWqerFUiuEz7oSyy6PlpCo.jpg,Andy Capp,"1988-02-22",코미디,,,,
middle class,rural area,manor,sitcom,,,,,,,125,https://image.tmdb.org/t/p/original/dkC1esu05b8aHPUwTO7857MHbd0.jpg,To the Manor Born,"1979-09-30",코미디,,,,
unsolved mystery,,,,,,,,,,126,https://image.tmdb.org/t/p/original/1bOXbWqNsRU2ykPiE586I18coLf.jpg,Unsolved Mysteries,"1988-10-05",미스터리,드라마,,,
high school,"boston, massachusetts",teacher,teacher student relationship,public school,school principal,teachers and students,vice principal,,,127,https://image.tmdb.org/t/p/original/yUEMfetlqwab7mOzrZIoAOGwfKi.jpg,Boston Public,"2000-10-23",드라마,,,,
,,,,,,,,,,128,https://image.tmdb.org/t/p/original/jY9NdQKNlUJswTycfN7yqhjpVKc.jpg,Pasadena,"2001-09-28",드라마,,,,
,,,,,,,,,,133,https://image.tmdb.org/t/p/original/ifs860YxxWnJHFMeLTlbeSXGN8B.jpg,Juliet Bravo,"1980-08-30",범죄,드라마,,,
future,moon,moon landing,space,moon base,space exploration,live on the moon,,,,134,https://image.tmdb.org/t/p/original/77Jn71Aw4mct3phi7wpjLdvO9U5.jpg,Space: 1999,"1975-09-04",Sci-Fi & Fantasy,,,,
,,,,,,,,,,135,https://image.tmdb.org/t/p/originalnull,フードファイト,"2000-07-01",드라마,,,,
,,,,,,,,,,136,https://image.tmdb.org/t/p/original/AbBlSO2ifQ92DQUjzbP6gtwOyNa.jpg,Thriller,"1973-03-14",드라마,,,,
new york city,ex-lover,sitcom,,,,,,,,138,https://image.tmdb.org/t/p/original/jfrqV8fjvoUbWyjb9TjA6TlBQtp.jpg,Ink,"1996-10-21",코미디,,,,
"boston, massachusetts",sitcom,workplace comedy,bar,,,,,,,141,https://image.tmdb.org/t/p/original/nD1ZQBKbgKSmKcrAkWTofohsScj.jpg,Cheers,"1982-09-30",코미디,,,,
,,,,,,,,,,144,https://image.tmdb.org/t/p/original/z4cDiC2iotX5WP9bpNEp98xys2S.jpg,Head Cases,"2005-09-14",드라마,,,,
truck driver,driver,,,,,,,,,148,https://image.tmdb.org/t/p/original/vMpCNV4jBMKoRhecgWpsXamW5Um.jpg,Movin' On,"1974-05-08",드라마,,,,
"london, england",roommate,lawyer,young adult,,,,,,,150,https://image.tmdb.org/t/p/original/f9PiErdWF5IDcvZULIae4oeeb5r.jpg,This Life,"1996-03-18",드라마,,,,
infidelity,friendship,romance,family,melodrama,,,,,,152,https://image.tmdb.org/t/p/original/a3tNcvpPkeTpvG2QltojMujl3fQ.jpg,Maging Sino Ka Man,"2006-10-09",드라마,,,,
"chicago, illinois",sitcom,,,,,,,,,154,https://image.tmdb.org/t/p/original/zZlaGU4RJMhTKFxmQ6RAEYNjM0l.jpg,Good Times,"1974-02-08",코미디,,,,
