content_id,title,genre,poster_url,rating_count,rating_avg,overview
196,Captain Star,Sci-Fi & Fantasy Animation,https://image.tmdb.org/t/p/original/jyr2T1lP1Kh1b9I1oWC8GrwMi09.jpg,1,8.0,"Captain Star was an animated television series starring Richard E. Grant as Captain Jim Star, based on a comic by Steven Appleby: Rockets Passing Overhead. Only thirteen episodes of thirty-minutes each were produced and aired. The series ran on the British ITV and Canadian TELETOON networks from 1997 to 1998. The show was also later repeated on Nickelodeon UK."
216,Duck Dodgers,Animation Comedy,https://image.tmdb.org/t/p/original/q0W1LogKG8b18sGBRzcIzTBH5D.jpg,88,7.4,"Duck Dodgers is an American animated television series, based on the 1953 theatrical cartoon short Duck Dodgers in the 24½th Century, produced by Warner Bros. Animation from 2003 to 2005. The series is a space opera, featuring the fictional Looney Tunes characters as actors in metafictional roles, with Daffy Duck as the titular hero. It originally aired on Cartoon Network, and it currently airs reruns on Cartoon Network's sister network, Boomerang."
218,Inhumanoids,Animation,https://image.tmdb.org/t/p/original/wzLyDAdkT0yUVQycSeZuosgbjSA.jpg,3,7.3,"Inhumanoids was an animated series and Hasbro toy property in 1986. In the tradition of other Hasbro properties such as Transformers and G.I. Joe, the show was produced by Sunbow and Marvel Productions and animated in Japan by Toei Animation. Inhumanoids tells the story of the scientist-hero group, Earth Corps, as they battle a trio of subterranean monsters called the Inhumanoids with the aid of elemental beings, the Mutores."
223,Being Ian,Animation,https://image.tmdb.org/t/p/original/ve16Upv0vQ8kAPMCscGDC859Cor.jpg,7,7.3,"Being Ian is a Canadian animated series produced by Studio B Productions, Corus Entertainment and Nelvana, focusing on 12-year-old Ian Kelley, who aspires to become a filmmaker. It originally aired from January 1, 2005 to April 22, 2007.

The series is created by and based on the early life of actor/writer Ian James Corlett. It is set in the city of Burnaby, British Columbia. Produced in 2004, it debuted January 4, 2005 on YTV. The series aired in the United States on Qubo from September 19, 2009 - October 24, 2009."
230,The New Scooby and Scrappy-Doo Show,Animation Mystery Family Comedy Kids,https://image.tmdb.org/t/p/original/hKZL0OVHfKxuCPnhhCQl7nVkPRf.jpg,129,7.95,"The New Scooby and Scrappy Doo Show is the sixth incarnation of the Hanna-Barbera Saturday morning cartoon Scooby-Doo. It premiered on September 10, 1983, and ran for one season on ABC as a half-hour program made up of two eleven-minute short cartoons.  The show is a return to the mystery solving format and reintroduces Daphne after a four-year absence. The plots of each episode feature her, Shaggy, Scooby-Doo, and Scrappy-Doo solving supernatural mysteries under the cover of being reporters for a teen magazine."
234,My Gym Partner's a Monkey,Animation,https://image.tmdb.org/t/p/original/pFdCAw8vY8PUFV5YIgvBmiVEE5j.jpg,64,6.234,"My Gym Partner's a Monkey is an American animated television series created by Tim Cahill and Julie McNally-Cahill and produced by Cartoon Network Studios.  The story revolves around Adam Lyon, a human who, after a clerical error listed his surname as ""Lion,"" is forced to transfer to Charles Darwin Middle School, a school for local anthropomorphic zoo animals, where he is partnered with Jake Spidermonkey in gym, with whom he quickly becomes best friends.

d."
240,Jackie Chan Adventures,Action & Adventure Animation Comedy Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/by2GTFpd2BQ5uJxWPlfcmfrNrfB.jpg,686,8.144,"Jackie Chan teams up in this animé-style adventure with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert. Though officially Jackie works as an archaeologist, in reality he also assists Captain Black, leader of the covert police squad Section 13."
246,Avatar: The Last Airbender,Animation Action & Adventure Sci-Fi & Fantasy,https://image.tmdb.org/t/p/original/cHFZA8Tlv03nKTGXhLOYOLtqoSm.jpg,3189,8.687,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
251,Aqua Teen Hunger Force,Animation Comedy,https://image.tmdb.org/t/p/original/qEg5mkXsnAcJbju4ub6xpT3ogsT.jpg,155,7.4,"The surreal adventures of three anthropomorphic fast food items: Master Shake, Frylock and Meatwad, and their human nextdoor neighbor, Carl Brutananadilewski."
255,Hi Hi Puffy AmiYumi,Animation Comedy Kids,https://image.tmdb.org/t/p/original/dVlsQzfxewEdHpu7SiVUpRAVNyU.jpg,118,7.322,"Hi Hi Puffy AmiYumi follows the adventures of two very cool, but very different pop stars as they travel from gig to gig or just hang out in their tour bus. Being famous rock stars, Ami and Yumi tour the globe in their customized Puffy bus, a veritable condo on wheels with all the major amenities and an ever-changing interior. Ami is the peppy, positive, and resourceful one. Yumi is the hard-rocking, no-nonsense cynic with an absolutely infallible sense of cool. Together, these superstars take the world by storm with musical talent, trend-setting style and humor, despite occasional misjudgments from their well-meaning but tragically square manager, Kaz."
